# lambda	flux
 2628.84 685.535
 2629.44 335.076
 2630.04 531.928
 2630.65 373.547
 2631.24 910.972
 2631.84 278.069
 2632.44 291.772
 2633.04 212.116
 2633.65 101.723
 2634.24 443.235
 2634.84 1022.32
 2635.44 1015.51
 2636.04 1498.61
 2636.65 282.771
 2637.24 818.985
 2637.84 1227.91
 2638.44 1102.75
 2639.04 2835.78
 2639.65 1006.46
 2640.24 1257.22
 2640.84 748.032
 2641.44 188.867
 2642.04 785.816
 2642.65 759.864
 2643.24 708.22
 2643.84 1243.36
 2644.44 833.863
 2645.04 315.873
 2645.65 427.956
 2646.24 139.364
 2646.84 393.216
 2647.44 344.928
 2648.04 862.64
 2648.65 176.298
 2649.24 669.781
 2649.84 846.376
 2650.44 763.877
 2651.04 700.087
 2651.65 489.944
 2652.24 82.7235
 2652.84 426.144
 2653.44 341.466
 2654.04 1254.41
 2654.65 1143.85
 2655.24 1383.54
 2655.84 1200.88
 2656.44 1819.84
 2657.04 460.203
 2657.65 1084.12
 2658.24 684.816
 2658.84 1707.31
 2659.44 966.688
 2660.04 635.757
 2660.65 249.565
 2661.24 176.611
 2661.84 230.183
 2662.44 160.762
 2663.04 473.258
 2663.65 2221.51
 2664.24 910.852
 2664.84 283.001
 2665.44 409.185
 2666.04 647.087
 2666.65 705.642
 2667.24 156.17
 2667.84 502.236
 2668.44 1357.84
 2669.04 477.968
 2669.65 1156.11
 2670.24 190.631
 2670.84 1390.33
 2671.44 2799.84
 2672.04 785.019
 2672.65 530.429
 2673.24 750.195
 2673.84 512.474
 2674.44 449.041
 2675.04 2470.42
 2675.65 1341.87
 2676.24 2205.5
 2676.84 976.214
 2677.44 2145.06
 2678.04 381.17
 2678.65 610.678
 2679.24 162.651
 2679.84 148.954
 2680.44 447.099
 2681.04 437.203
 2681.65 562.864
 2682.24 314.118
 2682.84 547.471
 2683.44 2327.47
 2684.04 298.394
 2684.65 369.483
 2685.24 3102.29
 2685.84 396.621
 2686.44 648.99
 2687.04 1328.97
 2687.65 370.898
 2688.24 662.198
 2688.84 305.264
 2689.44 553.338
 2690.04 196.657
 2690.65 267.81
 2691.24 161.633
 2691.84 236.574
 2692.44 447.387
 2693.04 626.955
 2693.65 450.825
 2694.24 357.547
 2694.84 864.358
 2695.44 1634.89
 2696.04 256.549
 2696.65 117.518
 2697.24 432.636
 2697.84 541.825
 2698.44 578.56
 2699.04 815.14
 2699.65 1087.6
 2700.24 923.233
 2700.84 2332.85
 2701.44 1637.74
 2702.04 838.501
 2702.65 248.769
 2703.24 385.231
 2703.84 1020.21
 2704.44 371.966
 2705.04 614.019
 2705.65 992.687
 2706.24 430.658
 2706.84 312.751
 2707.44 223.551
 2708.04 563.695
 2708.65 1250.59
 2709.24 944.646
 2709.84 588.807
 2710.44 387.808
 2711.04 1227.64
 2711.65 606.523
 2712.24 237.142
 2712.84 1188.22
 2713.44 1771.64
 2714.04 710.983
 2714.65 864.202
 2715.24 400.544
 2715.84 382.756
 2716.44 342.869
 2717.04 216.665
 2717.65 562.459
 2718.24 280.954
 2718.84 47.3073
 2719.44 78.82
 2720.04 47.2086
 2720.65 122.511
 2721.24 106.645
 2721.84 57.5955
 2722.44 51.6632
 2723.04 215.755
 2723.65 300.212
 2724.24 131.295
 2724.84 306.932
 2725.44 461.449
 2726.04 194.589
 2726.65 227.518
 2727.24 165.06
 2727.84 1143.72
 2728.44 723.44
 2729.04 821.212
 2729.65 424.015
 2730.24 1545.75
 2730.84 1365.55
 2731.44 822.746
 2732.04 428.956
 2732.65 538.033
 2733.24 675.783
 2733.84 455.617
 2734.44 152.834
 2735.04 191.775
 2735.65 161.909
 2736.24 162.98
 2736.84 746.846
 2737.44 151.734
 2738.04 49.8601
 2738.65 165.203
 2739.24 793.174
 2739.84 1110.0
 2740.44 439.143
 2741.04 628.697
 2741.65 737.553
 2742.24 494.715
 2742.84 103.598
 2743.44 147.655
 2744.04 207.732
 2744.65 201.725
 2745.24 177.749
 2745.84 562.501
 2746.44 623.736
 2747.04 1253.15
 2747.65 282.366
 2748.24 1133.48
 2748.84 881.783
 2749.44 895.816
 2750.04 310.568
 2750.65 142.138
 2751.24 158.564
 2751.84 426.09
 2752.44 309.683
 2753.04 1173.97
