# lk ukf_m5iii uks_m5iii fh fl fk fm
# lRMS=0.1901770234 iRMS=0.147836566 0
# 
4636.30 0.316838 0.030731 0.401383 0.000000 0.000000 0.384893
4641.30 0.320748 0.023837 0.413546 0.000000 0.000000 0.382432
4646.30 0.421043 0.024837 0.438043 0.000000 0.000000 0.606829
4651.30 0.413063 0.016867 0.482311 0.000000 0.000000 0.542759
4656.30 0.462304 0.038199 0.529304 0.000000 0.000000 0.617963
4661.30 0.744321 0.045994 0.563426 0.000000 0.000000 1.283703
4666.31 0.768046 0.024879 0.517663 0.000000 0.000000 1.388342
4671.31 0.543394 0.032063 0.453992 0.000000 0.000000 0.894510
4676.31 0.544009 0.030892 0.450312 0.000000 0.000000 0.899716
4681.31 0.598141 0.028963 0.473760 0.000000 0.000000 1.010605
4686.31 0.585055 0.027617 0.516932 0.000000 0.000000 0.934957
4691.31 0.759574 0.031658 0.566369 0.000000 0.000000 1.318612
4696.31 0.904443 0.039786 0.607758 0.000000 0.000000 1.636734
4701.32 0.725004 0.045012 0.628731 0.000000 0.000000 1.170460
4706.32 0.575852 0.036878 0.623074 0.000000 0.000000 0.805978
4711.32 0.554489 0.032930 0.603262 0.000000 0.000000 0.772775
4716.32 0.450031 0.039014 0.593027 0.000000 0.000000 0.523783
4721.32 0.434892 0.045112 0.608329 0.000000 0.000000 0.470912
4726.32 0.569263 0.045380 0.625435 0.000000 0.000000 0.787265
4731.32 0.567752 0.038881 0.640366 0.000000 0.000000 0.768584
4736.32 0.534576 0.037967 0.653791 0.000000 0.000000 0.672829
4741.33 0.719223 0.049339 0.676749 0.000000 0.000000 1.108096
4746.33 1.003924 0.066994 0.742997 0.000000 0.000000 1.748371
4751.33 1.146267 0.067717 0.783491 0.000000 0.000000 2.061119
4756.33 0.924314 0.046632 0.698546 0.000000 0.000000 1.595259
4761.33 0.527006 0.018655 0.500813 0.000000 0.000000 0.807020
4766.33 0.315433 0.042837 0.366663 0.000000 0.000000 0.416124
4771.33 0.284135 0.028169 0.360712 0.000000 0.000000 0.344405
4776.34 0.347890 0.026810 0.403152 0.000000 0.000000 0.460182
4781.34 0.458196 0.035106 0.431946 0.000000 0.000000 0.705127
4786.34 0.550480 0.046050 0.462624 0.000000 0.000000 0.903465
4791.34 0.588151 0.039407 0.507377 0.000000 0.000000 0.952196
4796.34 0.598943 0.045009 0.537675 0.000000 0.000000 0.948678
4801.34 0.559289 0.027219 0.527103 0.000000 0.000000 0.860844
4806.34 0.408599 0.023559 0.448361 0.000000 0.000000 0.565630
4811.34 0.264239 0.041673 0.395722 0.000000 0.000000 0.260021
4816.35 0.291202 0.038210 0.430423 0.000000 0.000000 0.292232
4821.35 0.604010 0.032743 0.479703 0.000000 0.000000 1.019226
4826.35 0.874753 0.038047 0.499442 0.000000 0.000000 1.671371
4831.35 0.610214 0.043538 0.516544 0.000000 0.000000 0.997782
4836.35 0.415496 0.025996 0.559710 0.000000 0.000000 0.471398
4841.35 0.627318 0.027801 0.573131 0.000000 0.000000 0.983640
4846.35 0.631770 0.036747 0.539197 0.000000 0.000000 1.028623
4851.36 0.453694 0.047663 0.498902 0.000000 0.000000 0.626998
4856.36 0.446295 0.048933 0.492327 0.000000 0.000000 0.615212
4861.36 0.658991 0.049801 0.506077 0.000000 0.000000 1.129293
4866.36 0.861947 0.046513 0.544252 0.000000 0.000000 1.594780
4871.36 0.726011 0.043455 0.590751 0.000000 0.000000 1.210939
4876.36 0.682777 0.045585 0.627986 0.000000 0.000000 1.066414
4881.36 0.944598 0.044626 0.659407 0.000000 0.000000 1.684734
4886.36 0.961418 0.036846 0.690259 0.000000 0.000000 1.695625
4891.37 0.787506 0.027300 0.723078 0.000000 0.000000 1.231221
4896.37 0.755340 0.028715 0.756132 0.000000 0.000000 1.118341
4901.37 0.835192 0.029453 0.797345 0.000000 0.000000 1.275291
4906.37 0.910062 0.023191 0.853247 0.000000 0.000000 1.405191
4911.37 0.873917 0.024197 0.899206 0.000000 0.000000 1.269531
4916.37 0.849663 0.011858 0.923965 0.000000 0.000000 1.184584
4921.37 0.945043 0.019926 0.948341 0.000000 0.000000 1.396905
4926.37 1.109045 0.020067 1.035094 0.000000 0.000000 1.717144
4931.38 1.228123 0.054806 1.117358 0.000000 0.000000 1.930387
4936.38 1.208776 0.058656 1.124907 0.000000 0.000000 1.874828
4941.38 1.077214 0.070043 1.140545 0.000000 0.000000 1.532701
4946.38 0.988952 0.149157 1.186269 0.000000 0.000000 1.267944
