# lk ukf_m4v uks_m4v fh fse fl
# iRMS=0.001250443514 0
# 
5116.43 0.767497 0.000000 0.767497 0.000000 0.000000
5121.43 0.777911 0.000000 0.777911 0.000000 0.000000
5126.43 0.791634 0.000000 0.791634 0.000000 0.000000
5131.43 0.802491 0.000000 0.802491 0.000000 0.000000
5136.43 0.806385 0.000000 0.806385 0.000000 0.000000
5141.43 0.806771 0.000000 0.806771 0.000000 0.000000
5146.43 0.812328 0.000000 0.812328 0.000000 0.000000
5151.43 0.826678 0.000000 0.826678 0.000000 0.000000
5156.44 0.837932 0.000000 0.837932 0.000000 0.000000
5161.44 0.820509 0.000000 0.820509 0.000000 0.000000
5166.44 0.755902 0.000000 0.755902 0.000000 0.000000
5171.44 0.655088 0.000000 0.655088 0.000000 0.000000
5176.44 0.558974 0.000000 0.558974 0.000000 0.000000
5181.44 0.514322 0.000000 0.514322 0.000000 0.000000
5186.44 0.540054 0.000000 0.540054 0.000000 0.000000
5191.45 0.609665 0.000000 0.609665 0.000000 0.000000
5196.45 0.672302 0.000000 0.672302 0.000000 0.000000
5201.45 0.695742 0.000000 0.695742 0.000000 0.000000
5206.45 0.690996 0.000000 0.690996 0.000000 0.000000
5211.45 0.700956 0.000000 0.700956 0.000000 0.000000
5216.45 0.761874 0.000000 0.761874 0.000000 0.000000
5221.45 0.868003 0.000000 0.868003 0.000000 0.000000
5226.45 0.974920 0.000000 0.974920 0.000000 0.000000
5231.46 1.037358 0.000000 1.037358 0.000000 0.000000
5236.46 1.043828 0.000000 1.043828 0.000000 0.000000
5241.46 1.021219 0.000000 1.021219 0.000000 0.000000
5246.46 1.007691 0.000000 1.007691 0.000000 0.000000
5251.46 1.017554 0.000000 1.017554 0.000000 0.000000
5256.46 1.033707 0.000000 1.033707 0.000000 0.000000
5261.46 1.032790 0.000000 1.032790 0.000000 0.000000
5266.47 1.012026 0.000000 1.012026 0.000000 0.000000
5271.47 0.994209 0.000000 0.994209 0.000000 0.000000
5276.47 1.007334 0.000000 1.007334 0.000000 0.000000
5281.47 1.056499 0.000000 1.056499 0.000000 0.000000
5286.47 1.117700 0.000000 1.117700 0.000000 0.000000
