# lk ukf_f5iv uks_f5iv fh fse fl
# iRMS=7.111436571e-05 0
# 
5081.42 1.111542 0.000000 1.111542 0.000000 0.000000
5086.42 1.132507 0.000000 1.132507 0.000000 0.000000
5091.42 1.151134 0.000000 1.151134 0.000000 0.000000
5096.42 1.141622 0.000000 1.141622 0.000000 0.000000
5101.42 1.122861 0.000000 1.122861 0.000000 0.000000
5106.42 1.118561 0.000000 1.118561 0.000000 0.000000
5111.42 1.127005 0.000000 1.127005 0.000000 0.000000
5116.43 1.138704 0.000000 1.138704 0.000000 0.000000
5121.43 1.138482 0.000000 1.138482 0.000000 0.000000
5126.43 1.116790 0.000000 1.116790 0.000000 0.000000
5131.43 1.092260 0.000000 1.092260 0.000000 0.000000
5136.43 1.084051 0.000000 1.084051 0.000000 0.000000
5141.43 1.085241 0.000000 1.085241 0.000000 0.000000
5146.43 1.087172 0.000000 1.087172 0.000000 0.000000
5151.43 1.100338 0.000000 1.100338 0.000000 0.000000
5156.44 1.127043 0.000000 1.127043 0.000000 0.000000
5161.44 1.117702 0.000000 1.117702 0.000000 0.000000
5166.44 1.039536 0.000000 1.039536 0.000000 0.000000
5171.44 0.978872 0.000000 0.978872 0.000000 0.000000
5176.44 1.014419 0.000000 1.014419 0.000000 0.000000
5181.44 1.075291 0.000000 1.075291 0.000000 0.000000
5186.44 1.080910 0.000000 1.080910 0.000000 0.000000
5191.45 1.061515 0.000000 1.061515 0.000000 0.000000
5196.45 1.061535 0.000000 1.061535 0.000000 0.000000
5201.45 1.071337 0.000000 1.071337 0.000000 0.000000
5206.45 1.074094 0.000000 1.074094 0.000000 0.000000
5211.45 1.078266 0.000000 1.078266 0.000000 0.000000
5216.45 1.091171 0.000000 1.091171 0.000000 0.000000
5221.45 1.090250 0.000000 1.090250 0.000000 0.000000
5226.45 1.058936 0.000000 1.058936 0.000000 0.000000
5231.46 1.034489 0.000000 1.034489 0.000000 0.000000
5236.46 1.052024 0.000000 1.052024 0.000000 0.000000
5241.46 1.084242 0.000000 1.084242 0.000000 0.000000
5246.46 1.097386 0.000000 1.097386 0.000000 0.000000
5251.46 1.094274 0.000000 1.094274 0.000000 0.000000
5256.46 1.083543 0.000000 1.083543 0.000000 0.000000
5261.46 1.060538 0.000000 1.060538 0.000000 0.000000
5266.47 1.023917 0.000000 1.023917 0.000000 0.000000
5271.47 0.998909 0.000000 0.998909 0.000000 0.000000
5276.47 1.009230 0.000000 1.009230 0.000000 0.000000
5281.47 1.045986 0.000000 1.045986 0.000000 0.000000
