# lk ukf_m6iii uks_m6iii fh fm
# iRMS=0.1550584733 0
# 
5426.51 1.031989 0.020152 1.353945 1.265282
5431.51 1.167726 0.044798 1.343497 1.620236
5436.51 1.476515 0.123230 1.412839 2.334613
5441.51 1.665436 0.121728 1.490006 2.736935
5446.51 1.381490 0.009711 1.293326 2.212948
5451.51 0.850861 0.165642 0.911989 1.247529
5456.52 0.501004 0.150295 0.715041 0.556526
5461.52 0.483415 0.051801 0.681164 0.545761
5466.52 0.620973 0.040350 0.701634 0.874419
5471.52 0.701600 0.036526 0.743541 1.037146
5476.52 0.819124 0.031153 0.793655 1.285313
5481.52 0.973282 0.040918 0.852643 1.617585
5486.52 1.040734 0.025476 0.909929 1.731494
5491.53 1.085500 0.014821 0.930584 1.824455
5496.53 1.120164 0.031517 0.890378 1.952641
5501.53 0.859642 0.047813 0.818293 1.363512
5506.53 0.553177 0.035404 0.809026 0.594959
5511.53 0.794399 0.011104 0.846542 1.169672
5516.53 1.230798 0.019063 0.904458 2.219355
5521.53 1.390391 0.030787 0.965685 2.563180
5526.53 1.155926 0.013899 0.978976 1.954809
5531.54 0.882281 0.012832 0.990829 1.248434
5536.54 1.087821 0.011050 1.030898 1.730034
5541.54 1.427120 0.034689 1.086190 2.535895
5546.54 1.468543 0.037046 1.115955 2.611263
5551.54 1.181900 0.020562 1.113156 1.886550
5556.54 0.851319 0.031870 1.107907 1.052772
5561.54 0.762743 0.030628 1.099362 0.836510
5566.55 0.782894 0.006650 1.073444 0.913572
5571.55 0.848189 0.018902 1.025873 1.126862
5576.55 1.015489 0.021136 1.008137 1.569212
5581.55 1.085465 0.010508 1.022657 1.732295
5586.55 0.961997 0.014023 1.025522 1.416064
5591.55 0.883238 0.010076 1.009736 1.231957
5596.55 0.836579 0.035718 0.935675 1.187594
5601.55 0.733504 0.054294 0.851752 1.009910
5606.56 0.637514 0.032789 0.825355 0.792680
5611.56 0.584461 0.017199 0.822713 0.660672
5616.56 0.583291 0.030797 0.806605 0.673809
5621.56 0.601418 0.049184 0.780165 0.746257
5626.56 0.614116 0.041929 0.775983 0.782668
5631.56 0.602661 0.027355 0.776049 0.753528
5636.56 0.557911 0.029269 0.785245 0.630754
5641.57 0.520326 0.029271 0.796108 0.524499
5646.57 0.692818 0.018245 0.831030 0.927368
5651.57 0.961835 0.016531 0.887475 1.553699
5656.57 0.960389 0.027991 0.946677 1.490826
5661.57 0.783051 0.018314 0.960872 1.026541
5666.57 0.650356 0.015073 0.920107 0.730522
5671.57 0.659768 0.035190 0.888526 0.785991
5676.57 0.743691 0.021715 0.910913 0.976603
5681.58 0.737866 0.017803 0.961050 0.911683
5686.58 0.809303 0.025238 1.002535 1.051506
5691.58 1.008243 0.016971 1.027028 1.531932
5696.58 1.006143 0.012929 1.056623 1.497008
5701.58 0.835454 0.026817 1.098142 1.022271
5706.58 0.810216 0.051927 1.149538 0.906821
5711.58 0.859294 0.063235 1.187526 0.993395
5716.59 0.860735 0.031039 1.164646 1.019931
5721.59 0.885497 0.017936 1.143748 1.103677
5726.59 0.960959 0.039110 1.165745 1.273207
5731.59 1.039401 0.053310 1.200273 1.437766
5736.59 1.037217 0.018839 1.210875 1.421620
5741.59 0.973070 0.020365 1.208075 1.261615
5746.59 1.049428 0.023604 1.257970 1.405518
