# lk ukf_m8iii uks_m8iii fh fl fm
# lRMS=43.84253693 iRMS=4.07691431 0
# 
4571.28 0.428178 0.000000 0.592355 0.000000 2.373751
4576.28 0.514297 0.000000 0.602553 0.000000 2.960117
4581.28 0.346994 0.000000 0.497155 0.000000 1.906562
4586.28 0.121820 0.000000 0.317888 0.000000 0.525991
4591.29 0.133393 0.000000 0.158124 0.000000 0.765922
4596.29 0.465386 0.000000 0.097769 0.000000 3.126084
4601.29 0.501284 0.000000 0.111203 0.000000 3.361327
4606.29 0.206670 0.000000 0.151888 0.000000 1.279772
4611.29 0.152492 0.000000 0.195156 0.000000 0.861195
4616.29 0.317819 0.000000 0.223541 0.000000 1.978078
4621.29 0.478481 0.000000 0.226500 0.000000 3.088068
4626.30 0.435557 0.000000 0.201151 0.000000 2.816069
4631.30 0.234634 0.000000 0.168310 0.000000 1.457065
4636.30 0.116371 0.000000 0.149569 0.000000 0.656564
4641.30 0.091067 0.000000 0.145925 0.000000 0.484918
4646.30 0.143294 0.000000 0.154255 0.000000 0.838383
4651.30 0.339374 0.000000 0.175568 0.000000 2.175366
4656.30 0.627848 0.000000 0.207859 0.000000 4.141415
4661.30 0.829940 0.000000 0.232948 0.000000 5.516269
4666.31 0.638768 0.000000 0.234932 0.000000 4.189987
4671.31 0.238976 0.000000 0.223204 0.000000 1.432245
4676.31 0.188757 0.000000 0.212279 0.000000 1.095294
4681.31 0.298377 0.000000 0.211889 0.000000 1.855050
4686.31 0.314870 0.000000 0.227823 0.000000 1.953366
4691.31 0.327201 0.000000 0.254897 0.000000 2.011711
4696.31 0.553071 0.000000 0.284389 0.000000 3.546885
4701.32 0.994789 0.000000 0.304409 0.000000 6.586761
4706.32 0.889592 0.000000 0.308381 0.000000 5.854059
4711.32 0.300145 0.000000 0.314148 0.000000 1.765036
4716.32 0.086864 0.000000 0.337263 0.000000 0.264466
4721.32 0.209745 0.000000 0.359693 0.000000 1.093265
4726.32 0.301945 0.000000 0.363008 0.000000 1.728645
4731.32 0.082087 0.000000 0.360786 0.000000 0.207854
4736.32 0.300878 0.000000 0.371137 0.000000 1.713123
4741.33 1.731714 0.000000 0.398294 0.000000 11.597749
4746.33 3.145232 0.000000 0.435457 0.000000 21.352406
4751.33 3.302062 0.000000 0.445571 0.000000 22.428694
4756.33 1.853483 0.000000 0.395748 0.000000 12.443824
4761.33 0.230271 0.000000 0.300018 0.000000 1.295133
4766.33 0.054441 0.000000 0.188565 0.000000 -0.260952
4771.33 0.128431 0.000000 0.109264 0.000000 0.780410
4776.34 0.112579 0.000000 0.097704 0.000000 0.682161
4781.34 0.263495 0.000000 0.122621 0.000000 1.702682
4786.34 0.464422 0.000000 0.146173 0.000000 3.071004
4791.34 0.533483 0.000000 0.171027 0.000000 3.524553
4796.34 0.456752 0.000000 0.203350 0.000000 2.960693
4801.34 0.312798 0.000000 0.222770 0.000000 1.944068
4806.34 0.214757 0.000000 0.210721 0.000000 1.276955
4811.34 0.046724 0.000000 0.182376 0.000000 0.141295
4816.35 0.045930 0.000000 0.159083 0.000000 -0.498884
4821.35 0.570014 0.000000 0.153133 0.000000 3.795508
4826.35 1.273110 0.000000 0.170649 0.000000 8.648522
4831.35 0.756504 0.000000 0.202141 0.000000 5.038363
4836.35 0.335191 0.000000 0.233778 0.000000 2.088178
4841.35 0.828437 0.000000 0.249977 0.000000 5.488830
4846.35 0.839080 0.000000 0.243317 0.000000 5.569213
4851.36 0.280800 0.000000 0.240780 0.000000 1.704394
4856.36 0.076801 0.000000 0.266009 0.000000 -0.308641
4861.36 0.808325 0.000000 0.294900 0.000000 5.304582
4866.36 1.759613 0.000000 0.302014 0.000000 11.887297
4871.36 0.910986 0.000000 0.304323 0.000000 6.006323
4876.36 0.690469 0.000000 0.323394 0.000000 4.459670
4881.36 2.227725 0.000000 0.356743 0.000000 15.075307
4886.36 2.283047 0.000000 0.395563 0.000000 15.419714
4891.37 1.082753 0.000000 0.429796 0.000000 7.070725
4896.37 0.569875 0.000000 0.453057 0.000000 3.494620
4901.37 0.910589 0.000000 0.474909 0.000000 5.832982
4906.37 1.364654 0.000000 0.508065 0.000000 8.945258
4911.37 0.956481 0.000000 0.561890 0.000000 6.063909
4916.37 0.525235 0.000000 0.639122 0.000000 2.999325
4921.37 0.763002 0.000000 0.719343 0.000000 4.566175
4926.37 1.104704 0.000000 0.787454 0.000000 6.865125
4931.38 1.289260 0.000000 0.872786 0.000000 8.058263
4936.38 1.253541 0.000000 0.996135 0.000000 7.687480
4941.38 0.809713 0.000000 1.099705 0.000000 4.509393
4946.38 0.519900 0.000000 1.110755 0.000000 2.490733
4951.38 1.259906 0.000000 0.975336 0.000000 7.752368
4956.38 1.431344 0.000000 0.681161 0.000000 9.234142
4961.38 0.343240 0.000000 0.363814 0.000000 2.013899
4966.39 0.046772 0.000000 0.162002 0.000000 -0.010112
4971.39 0.370475 0.000000 0.079053 0.000000 2.487328
4976.39 0.406701 0.000000 0.081965 0.000000 2.735363
4981.39 0.684939 0.000000 0.127783 0.000000 4.616976
4986.39 1.229722 0.000000 0.175908 0.000000 8.342709
4991.39 1.058934 0.000000 0.205113 0.000000 7.130404
4996.39 0.450352 0.000000 0.205015 0.000000 2.914691
5001.39 0.185284 0.000000 0.189224 0.000000 1.094285
5006.40 0.188044 0.000000 0.176056 0.000000 1.126572
5011.40 0.210659 0.000000 0.178647 0.000000 1.280643
5016.40 0.116918 0.000000 0.203392 0.000000 0.606532
5021.40 0.434060 0.000000 0.234887 0.000000 2.771962
5026.40 1.266684 0.000000 0.259337 0.000000 8.515324
5031.40 1.340011 0.000000 0.291177 0.000000 8.991440
5036.40 0.633445 0.000000 0.343763 0.000000 4.044280
5041.41 0.323257 0.000000 0.397926 0.000000 1.841363
5046.41 0.307759 0.000000 0.432738 0.000000 1.699190
5051.41 0.302463 0.000000 0.452758 0.000000 1.642483
5056.41 0.455083 0.000000 0.469154 0.000000 2.683331
5061.41 0.759515 0.000000 0.494030 0.000000 4.767334
5066.41 1.047730 0.000000 0.536148 0.000000 6.721762
5071.41 1.029421 0.000000 0.589972 0.000000 6.541106
5076.41 0.725725 0.000000 0.645966 0.000000 4.381325
5081.42 0.510879 0.000000 0.692892 0.000000 2.846100
5086.42 0.854939 0.000000 0.722786 0.000000 5.199606
5091.42 1.529502 0.000000 0.742474 0.000000 9.852794
5096.42 1.271213 0.000000 0.761595 0.000000 8.044437
5101.42 0.797715 0.000000 0.786237 0.000000 4.739748
5106.42 1.362067 0.000000 0.820990 0.000000 8.614410
5111.42 2.156826 0.000000 0.867983 0.000000 14.072926
5116.43 2.379790 0.000000 0.929173 0.000000 15.556271
5121.43 1.803871 0.000000 1.008268 0.000000 11.487632
5126.43 1.200457 0.000000 1.103553 0.000000 7.212336
5131.43 1.155250 0.000000 1.189874 0.000000 6.812850
5136.43 1.329774 0.000000 1.244870 0.000000 7.966828
5141.43 1.492237 0.000000 1.280776 0.000000 9.056350
5146.43 1.574446 0.000000 1.321948 0.000000 9.584661
5151.43 1.320059 0.000000 1.406616 0.000000 7.737787
5156.44 1.091349 0.000000 1.535182 0.000000 6.024884
5161.44 2.116040 0.000000 1.542866 0.000000 13.115512
5166.44 2.776410 0.000000 1.285074 0.000000 17.947865
5171.44 1.255938 0.000000 0.863148 0.000000 7.837071
5176.44 0.112778 0.000000 0.438012 0.000000 0.343231
5181.44 0.207739 0.000000 0.163001 0.000000 1.276063
5186.44 0.200130 0.000000 0.133970 0.000000 1.252384
