# lk ukf_k2iii uks_k2iii fh fse fl fk fc
# lRMS=0.002399086021 iRMS=0.0006689172587 0
# 
4046.14 0.395432 0.000000 0.395432 0.000000 0.000000 0.000000 0.000000
4051.14 0.400086 0.000000 0.400086 0.000000 0.000000 0.000000 0.000000
4056.15 0.396492 0.000000 0.396492 0.000000 0.000000 0.000000 0.000000
4061.15 0.376849 0.000000 0.376849 0.000000 0.000000 0.000000 0.000000
4066.15 0.373841 0.000000 0.373841 0.000000 0.000000 0.000000 0.000000
4071.15 0.385409 0.000000 0.385409 0.000000 0.000000 0.000000 0.000000
4076.15 0.395654 0.000000 0.395654 0.000000 0.000000 0.000000 0.000000
4081.15 0.422273 0.000000 0.422273 0.000000 0.000000 0.000000 0.000000
4086.15 0.457855 0.000000 0.457855 0.000000 0.000000 0.000000 0.000000
4091.15 0.468414 0.000000 0.468414 0.000000 0.000000 0.000000 0.000000
4096.16 0.443743 0.000000 0.443743 0.000000 0.000000 0.000000 0.000000
4101.16 0.416075 0.000000 0.416075 0.000000 0.000000 0.000000 0.000000
4106.16 0.418518 0.000000 0.418518 0.000000 0.000000 0.000000 0.000000
4111.16 0.429006 0.000000 0.429006 0.000000 0.000000 0.000000 0.000000
4116.16 0.427179 0.000000 0.427179 0.000000 0.000000 0.000000 0.000000
4121.16 0.419709 0.000000 0.419709 0.000000 0.000000 0.000000 0.000000
4126.16 0.410129 0.000000 0.410129 0.000000 0.000000 0.000000 0.000000
4131.17 0.395321 0.000000 0.395321 0.000000 0.000000 0.000000 0.000000
4136.17 0.388568 0.000000 0.388568 0.000000 0.000000 0.000000 0.000000
