# lk ukf_m9iii uks_m9iii
# iRMS=0
# 
6606.82 1.509730 0.000000
6611.83 1.830149 0.000000
6616.83 1.657193 0.000000
6621.83 1.267184 0.000000
6626.83 1.132613 0.000000
6631.83 1.078873 0.000000
6636.83 1.103613 0.000000
6641.83 1.370265 0.000000
6646.84 1.362563 0.000000
6651.84 0.931869 0.000000
6656.84 0.851103 0.000000
6661.84 0.950464 0.000000
6666.84 0.774322 0.000000
6671.84 0.807385 0.000000
6676.84 1.046943 0.000000
6681.84 0.977200 0.000000
6686.85 0.887606 0.000000
6691.85 1.024961 0.000000
6696.85 1.107603 0.000000
6701.85 1.027176 0.000000
6706.85 0.884979 0.000000
6711.85 0.969780 0.000000
6716.85 1.117606 0.000000
6721.86 1.029555 0.000000
6726.86 0.977267 0.000000
6731.86 1.029934 0.000000
6736.86 1.007225 0.000000
6741.86 1.048049 0.000000
6746.86 1.177934 0.000000
6751.86 1.088107 0.000000
6756.86 0.941738 0.000000
6761.87 1.098553 0.000000
6766.87 1.597654 0.000000
6771.87 2.053487 0.000000
6776.87 1.875535 0.000000
6781.87 1.336644 0.000000
6786.87 0.921957 0.000000
6791.87 0.910606 0.000000
6796.88 1.112356 0.000000
6801.88 1.066021 0.000000
6806.88 1.220955 0.000000
6811.88 1.836181 0.000000
6816.88 2.345167 0.000000
6821.88 2.418543 0.000000
6826.88 2.067729 0.000000
6831.88 1.746772 0.000000
6836.89 1.730776 0.000000
6841.89 1.995453 0.000000
6846.89 2.123815 0.000000
6851.89 1.844572 0.000000
6856.89 1.940271 0.000000
6861.89 2.361327 0.000000
6866.89 2.353964 0.000000
6871.90 2.912305 0.000000
6876.90 4.520604 0.000000
6881.90 4.502291 0.000000
6886.90 2.961607 0.000000
6891.90 2.777041 0.000000
6896.90 3.630446 0.000000
6901.90 4.241997 0.000000
6906.91 3.870060 0.000000
6911.91 3.065029 0.000000
6916.91 3.282438 0.000000
6921.91 4.004152 0.000000
6926.91 4.310081 0.000000
6931.91 4.583725 0.000000
6936.91 5.127553 0.000000
6941.91 5.848795 0.000000
6946.92 5.917970 0.000000
6951.92 4.944296 0.000000
6956.92 5.072438 0.000000
6961.92 6.572974 0.000000
6966.92 6.207905 0.000000
6971.92 5.245224 0.000000
6976.92 6.177700 0.000000
6981.93 6.702691 0.000000
6986.93 6.024951 0.000000
6991.93 5.580604 0.000000
6996.93 5.859823 0.000000
7001.93 6.253776 0.000000
7006.93 5.809054 0.000000
7011.93 6.004250 0.000000
7016.93 7.186481 0.000000
7021.94 6.753011 0.000000
7026.94 5.820826 0.000000
7031.94 6.431698 0.000000
7036.94 6.435200 0.000000
7041.94 5.614656 0.000000
7046.94 5.900663 0.000000
7051.94 6.167185 0.000000
7056.95 5.107251 0.000000
7061.95 3.045901 0.000000
7066.95 1.706530 0.000000
7071.95 2.469915 0.000000
7076.95 3.560299 0.000000
7081.95 3.711667 0.000000
7086.95 2.882231 0.000000
7091.95 2.041527 0.000000
7096.96 2.118418 0.000000
7101.96 2.561766 0.000000
7106.96 3.016334 0.000000
7111.96 3.643042 0.000000
7116.96 4.030171 0.000000
7121.96 3.597031 0.000000
7126.96 2.465023 0.000000
7131.97 1.228634 0.000000
7136.97 0.907650 0.000000
7141.97 1.071230 0.000000
7146.97 0.626083 0.000000
7151.97 1.112265 0.000000
7156.97 3.226625 0.000000
7161.97 3.654356 0.000000
7166.98 2.072582 0.000000
7171.98 1.480314 0.000000
7176.98 2.133503 0.000000
7181.98 2.779347 0.000000
7186.98 2.784754 0.000000
7191.98 2.316163 0.000000
7196.98 2.053901 0.000000
7201.98 2.493626 0.000000
7206.99 3.033535 0.000000
7211.99 2.481819 0.000000
7216.99 2.171572 0.000000
7221.99 2.891377 0.000000
7226.99 3.198254 0.000000
7231.99 3.151911 0.000000
7236.99 3.530427 0.000000
7242.00 4.213608 0.000000
7247.00 4.822589 0.000000
7252.00 4.947516 0.000000
7257.00 4.502628 0.000000
7262.00 3.827892 0.000000
7267.00 3.719983 0.000000
7272.00 4.199491 0.000000
7277.00 4.798983 0.000000
7282.01 5.195688 0.000000
7287.01 5.428266 0.000000
7292.01 5.588332 0.000000
7297.01 5.766582 0.000000
7302.01 6.017809 0.000000
7307.01 6.350178 0.000000
7312.01 6.768733 0.000000
7317.02 7.276380 0.000000
7322.02 7.836686 0.000000
7327.02 8.378692 0.000000
7332.02 8.830270 0.000000
7337.02 9.125842 0.000000
7342.02 9.261866 0.000000
7347.02 9.268998 0.000000
7352.02 9.178256 0.000000
7357.03 9.024042 0.000000
7362.03 8.860519 0.000000
7367.03 8.749001 0.000000
7372.03 8.750815 0.000000
7377.03 8.902021 0.000000
7382.03 9.129739 0.000000
7387.03 9.331732 0.000000
7392.04 9.405813 0.000000
7397.04 9.314894 0.000000
7402.04 9.215308 0.000000
7407.04 9.299153 0.000000
7412.04 9.758036 0.000000
7417.04 10.637291 0.000000
7422.04 11.632086 0.000000
7427.05 12.386277 0.000000
7432.05 12.545229 0.000000
7437.05 11.991211 0.000000
7442.05 11.099486 0.000000
7447.05 10.306828 0.000000
7452.05 10.045942 0.000000
7457.05 10.434896 0.000000
7462.05 11.058417 0.000000
7467.06 11.449571 0.000000
7472.06 11.146151 0.000000
7477.06 10.051852 0.000000
7482.06 8.690600 0.000000
7487.06 7.646401 0.000000
7492.06 7.497733 0.000000
7497.06 8.395835 0.000000
7502.07 9.767734 0.000000
7507.07 10.970298 0.000000
7512.07 11.364537 0.000000
7517.07 10.706405 0.000000
7522.07 9.468246 0.000000
7527.07 8.198058 0.000000
7532.07 7.442650 0.000000
7537.07 7.497082 0.000000
7542.08 8.094728 0.000000
7547.08 8.892962 0.000000
7552.08 9.549418 0.000000
7557.08 9.839211 0.000000
7562.08 9.839452 0.000000
7567.08 9.675116 0.000000
7572.08 9.471173 0.000000
7577.09 9.321009 0.000000
7582.09 9.209218 0.000000
7587.09 9.096992 0.000000
7592.09 8.945524 0.000000
7597.09 8.722694 0.000000
