# lk ukf_wg8iii uks_wg8iii fh fse fl
# iRMS=3.438999192e-05 0
# 
4991.39 0.968044 0.037479 0.968044 0.000000 0.000000
4996.39 0.966143 0.029432 0.966143 0.000000 0.000000
5001.39 0.955096 0.049369 0.955096 0.000000 0.000000
5006.40 0.940189 0.063715 0.940189 0.000000 0.000000
5011.40 0.938167 0.039713 0.938167 0.000000 0.000000
5016.40 0.907021 0.055588 0.907021 0.000000 0.000000
5021.40 0.918461 0.047550 0.918461 0.000000 0.000000
5026.40 0.932987 0.038950 0.932987 0.000000 0.000000
5031.40 0.947309 0.028212 0.947309 0.000000 0.000000
5036.40 0.960729 0.029794 0.960729 0.000000 0.000000
5041.41 0.941155 0.071396 0.941155 0.000000 0.000000
5046.41 0.947508 0.057560 0.947508 0.000000 0.000000
5051.41 0.959984 0.032002 0.959984 0.000000 0.000000
5056.41 0.969461 0.025442 0.969461 0.000000 0.000000
5061.41 0.986737 0.018389 0.986737 0.000000 0.000000
5066.41 0.974345 0.036213 0.974345 0.000000 0.000000
5071.41 0.976050 0.055364 0.976050 0.000000 0.000000
5076.41 0.969602 0.037888 0.969602 0.000000 0.000000
5081.42 0.942646 0.060512 0.942646 0.000000 0.000000
5086.42 0.953804 0.049182 0.953804 0.000000 0.000000
5091.42 0.976515 0.029097 0.976515 0.000000 0.000000
5096.42 0.982077 0.026001 0.982077 0.000000 0.000000
5101.42 0.960273 0.053020 0.960273 0.000000 0.000000
5106.42 0.968723 0.048189 0.968723 0.000000 0.000000
5111.42 0.957674 0.051899 0.957674 0.000000 0.000000
5116.43 0.971141 0.023183 0.971141 0.000000 0.000000
5121.43 0.972832 0.029969 0.972832 0.000000 0.000000
5126.43 0.951213 0.068251 0.951213 0.000000 0.000000
5131.43 0.952948 0.057024 0.952948 0.000000 0.000000
5136.43 0.953154 0.040952 0.953154 0.000000 0.000000
5141.43 0.943991 0.048242 0.943991 0.000000 0.000000
5146.43 0.939151 0.056132 0.939151 0.000000 0.000000
5151.43 0.936325 0.048350 0.936325 0.000000 0.000000
5156.44 0.940166 0.030075 0.940166 0.000000 0.000000
5161.44 0.944530 0.033026 0.944530 0.000000 0.000000
5166.44 0.899092 0.085311 0.899092 0.000000 0.000000
5171.44 0.870213 0.105711 0.870213 0.000000 0.000000
5176.44 0.891241 0.058336 0.891241 0.000000 0.000000
5181.44 0.905941 0.015277 0.905941 0.000000 0.000000
5186.44 0.873405 0.062579 0.873405 0.000000 0.000000
5191.45 0.916580 0.028442 0.916580 0.000000 0.000000
5196.45 0.912583 0.032803 0.912583 0.000000 0.000000
5201.45 0.927722 0.011654 0.927722 0.000000 0.000000
5206.45 0.925803 0.029584 0.925803 0.000000 0.000000
5211.45 0.932349 0.038027 0.932349 0.000000 0.000000
5216.45 0.953981 0.015314 0.953981 0.000000 0.000000
5221.45 0.955789 0.027025 0.955789 0.000000 0.000000
5226.45 0.958825 0.051021 0.958825 0.000000 0.000000
5231.46 0.955035 0.061285 0.955035 0.000000 0.000000
5236.46 0.971831 0.025101 0.971831 0.000000 0.000000
5241.46 0.983940 0.012697 0.983940 0.000000 0.000000
5246.46 0.987121 0.023367 0.987121 0.000000 0.000000
5251.46 0.974930 0.044437 0.974930 0.000000 0.000000
5256.46 0.978573 0.037744 0.978573 0.000000 0.000000
5261.46 0.960532 0.015117 0.960532 0.000000 0.000000
5266.47 0.900586 0.063365 0.900586 0.000000 0.000000
5271.47 0.889132 0.071686 0.889132 0.000000 0.000000
5276.47 0.916627 0.032369 0.916627 0.000000 0.000000
5281.47 0.958407 0.004895 0.958407 0.000000 0.000000
