# lk ukf_g5iv uks_g5iv fh fse fl
# iRMS=2.234972999e-05 0
# 
4496.26 1.028853 0.047289 1.028853 0.000000 0.000000
4501.26 1.063703 0.044927 1.063703 0.000000 0.000000
4506.26 1.104894 0.054385 1.104894 0.000000 0.000000
4511.27 1.125260 0.074389 1.125260 0.000000 0.000000
4516.27 1.116418 0.075469 1.116418 0.000000 0.000000
4521.27 1.083206 0.057304 1.083206 0.000000 0.000000
4526.27 1.016383 0.069348 1.016383 0.000000 0.000000
4531.27 0.981292 0.066938 0.981292 0.000000 0.000000
4536.27 1.003973 0.044219 1.003973 0.000000 0.000000
4541.27 1.029831 0.044014 1.029831 0.000000 0.000000
4546.27 1.027470 0.056380 1.027470 0.000000 0.000000
4551.28 1.025361 0.056622 1.025361 0.000000 0.000000
4556.28 1.045333 0.036074 1.045333 0.000000 0.000000
4561.28 1.065533 0.029412 1.065533 0.000000 0.000000
4566.28 1.070700 0.036209 1.070700 0.000000 0.000000
4571.28 1.076334 0.045632 1.076334 0.000000 0.000000
4576.28 1.076917 0.056846 1.076917 0.000000 0.000000
4581.28 1.062159 0.069388 1.062159 0.000000 0.000000
4586.28 1.054973 0.060830 1.054973 0.000000 0.000000
4591.29 1.047905 0.048691 1.047905 0.000000 0.000000
4596.29 1.032791 0.049169 1.032791 0.000000 0.000000
4601.29 1.040147 0.042377 1.040147 0.000000 0.000000
4606.29 1.059633 0.030701 1.059633 0.000000 0.000000
4611.29 1.078622 0.029279 1.078622 0.000000 0.000000
4616.29 1.086879 0.035042 1.086879 0.000000 0.000000
4621.29 1.098122 0.040943 1.098122 0.000000 0.000000
4626.30 1.103162 0.051108 1.103162 0.000000 0.000000
4631.30 1.106995 0.047439 1.106995 0.000000 0.000000
4636.30 1.088538 0.044674 1.088538 0.000000 0.000000
4641.30 1.059684 0.036082 1.059684 0.000000 0.000000
4646.30 1.026082 0.036439 1.026082 0.000000 0.000000
4651.30 1.013391 0.030759 1.013391 0.000000 0.000000
4656.30 1.025367 0.028817 1.025367 0.000000 0.000000
4661.30 1.037493 0.029589 1.037493 0.000000 0.000000
4666.31 1.007769 0.034356 1.007769 0.000000 0.000000
4671.31 0.991625 0.035926 0.991625 0.000000 0.000000
4676.31 0.997879 0.034258 0.997879 0.000000 0.000000
4681.31 1.007671 0.035257 1.007671 0.000000 0.000000
4686.31 1.026084 0.036099 1.026084 0.000000 0.000000
4691.31 1.026048 0.034771 1.026048 0.000000 0.000000
4696.31 1.014083 0.027501 1.014083 0.000000 0.000000
4701.32 0.986305 0.024095 0.986305 0.000000 0.000000
4706.32 0.971403 0.014931 0.971403 0.000000 0.000000
4711.32 0.975488 0.019811 0.975488 0.000000 0.000000
4716.32 1.011569 0.035497 1.011569 0.000000 0.000000
4721.32 1.047370 0.038287 1.047370 0.000000 0.000000
4726.32 1.056331 0.031778 1.056331 0.000000 0.000000
4731.32 1.041044 0.055672 1.041044 0.000000 0.000000
4736.32 1.041082 0.056399 1.041082 0.000000 0.000000
4741.33 1.057719 0.046802 1.057719 0.000000 0.000000
4746.33 1.078870 0.043260 1.078870 0.000000 0.000000
4751.33 1.090467 0.041176 1.090467 0.000000 0.000000
4756.33 1.082574 0.045282 1.082574 0.000000 0.000000
4761.33 1.072327 0.039122 1.072327 0.000000 0.000000
4766.33 1.048562 0.046557 1.048562 0.000000 0.000000
4771.33 1.050702 0.040512 1.050702 0.000000 0.000000
4776.34 1.081374 0.032009 1.081374 0.000000 0.000000
4781.34 1.105268 0.035918 1.105268 0.000000 0.000000
4786.34 1.096095 0.048078 1.096095 0.000000 0.000000
4791.34 1.090235 0.054757 1.090235 0.000000 0.000000
4796.34 1.103280 0.045511 1.103280 0.000000 0.000000
4801.34 1.108410 0.044837 1.108410 0.000000 0.000000
4806.34 1.099381 0.051014 1.099381 0.000000 0.000000
4811.34 1.100185 0.044233 1.100185 0.000000 0.000000
4816.35 1.112080 0.032599 1.112080 0.000000 0.000000
4821.35 1.114781 0.039024 1.114781 0.000000 0.000000
4826.35 1.100912 0.042367 1.100912 0.000000 0.000000
4831.35 1.089681 0.038953 1.089681 0.000000 0.000000
4836.35 1.084519 0.035900 1.084519 0.000000 0.000000
4841.35 1.072310 0.038684 1.072310 0.000000 0.000000
4846.35 1.074824 0.033731 1.074824 0.000000 0.000000
4851.36 1.057625 0.030852 1.057625 0.000000 0.000000
4856.36 0.997261 0.048352 0.997261 0.000000 0.000000
4861.36 0.930489 0.071596 0.930489 0.000000 0.000000
4866.36 0.921417 0.048768 0.921417 0.000000 0.000000
4871.36 0.939481 0.034831 0.939481 0.000000 0.000000
4876.36 0.965328 0.043981 0.965328 0.000000 0.000000
4881.36 1.011345 0.037416 1.011345 0.000000 0.000000
4886.36 1.003899 0.040944 1.003899 0.000000 0.000000
4891.37 0.996248 0.058706 0.996248 0.000000 0.000000
4896.37 1.045207 0.044149 1.045207 0.000000 0.000000
4901.37 1.076684 0.041863 1.076684 0.000000 0.000000
4906.37 1.079443 0.031620 1.079443 0.000000 0.000000
4911.37 1.054420 0.035364 1.054420 0.000000 0.000000
4916.37 1.035879 0.038488 1.035879 0.000000 0.000000
4921.37 0.987565 0.056955 0.987565 0.000000 0.000000
4926.37 1.013249 0.037479 1.013249 0.000000 0.000000
4931.38 1.055306 0.037531 1.055306 0.000000 0.000000
