# lk ukf_rk0v uks_rk0v fh fse fl fd fk fh_1
# lRMS=0.004504811484 iRMS=0.0003877604031 0
3716.06 0.345763 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3721.06 0.298735 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3726.06 0.280903 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3731.06 0.269775 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3736.06 0.237648 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3741.06 0.221307 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3746.06 0.221220 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3751.07 0.241681 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3756.07 0.273476 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3761.07 0.287070 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3766.07 0.310515 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3771.07 0.368242 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3776.07 0.453447 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3781.07 0.472572 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3786.08 0.419203 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3791.08 0.345558 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3796.08 0.318264 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3801.08 0.334864 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3806.08 0.360504 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3811.08 0.345198 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3816.08 0.277169 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3821.08 0.207195 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3826.09 0.168582 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3831.09 0.165241 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3836.09 0.177512 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3841.09 0.210115 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3846.09 0.248037 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3851.09 0.261295 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3856.09 0.240254 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3861.09 0.225821 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3866.10 0.240522 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3871.10 0.255803 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3876.10 0.263344 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3881.10 0.274074 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3886.10 0.291706 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3891.10 0.333630 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3896.10 0.356027 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3901.10 0.360469 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3906.11 0.387836 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3911.11 0.430143 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3916.11 0.430064 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3921.11 0.370344 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3926.11 0.284241 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3931.11 0.215700 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3936.11 0.198850 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3941.12 0.257197 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3946.12 0.348339 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3951.12 0.424461 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3956.12 0.433052 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3961.12 0.361581 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3966.12 0.262937 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3971.12 0.233040 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3976.12 0.347827 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3981.13 0.496859 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
