# lk ukf_k4iii uks_k4iii fh fse fl fd
# iRMS=0.0005858743098 0
# 
4876.36 0.703310 0.013065 0.703310 0.000000 0.000000 0.000000
4881.36 0.728611 0.001949 0.728611 0.000000 0.000000 0.000000
4886.36 0.720304 0.022885 0.720304 0.000000 0.000000 0.000000
4891.37 0.718758 0.032596 0.718758 0.000000 0.000000 0.000000
4896.37 0.768929 0.012149 0.768929 0.000000 0.000000 0.000000
4901.37 0.793352 0.022343 0.793352 0.000000 0.000000 0.000000
4906.37 0.784298 0.003899 0.784298 0.000000 0.000000 0.000000
4911.37 0.779695 0.012797 0.779695 0.000000 0.000000 0.000000
4916.37 0.771893 0.007435 0.771893 0.000000 0.000000 0.000000
4921.37 0.744257 0.014382 0.744257 0.000000 0.000000 0.000000
4926.37 0.739386 0.003253 0.739386 0.000000 0.000000 0.000000
4931.38 0.779414 0.037141 0.779414 0.000000 0.000000 0.000000
