# lk ukf_k4v uks_k4v fh fse fl
# iRMS=7.326521882e-05 0
# 
4656.30 0.897168 0.008324 0.897168 0.000000 0.000000
4661.30 0.924953 0.017897 0.924953 0.000000 0.000000
4666.31 0.893872 0.009349 0.893872 0.000000 0.000000
4671.31 0.883907 0.029711 0.883907 0.000000 0.000000
4676.31 0.894434 0.028173 0.894434 0.000000 0.000000
4681.31 0.904073 0.004477 0.904073 0.000000 0.000000
4686.31 0.917553 0.006630 0.917553 0.000000 0.000000
4691.31 0.906747 0.006505 0.906747 0.000000 0.000000
4696.31 0.886959 0.016282 0.886959 0.000000 0.000000
4701.32 0.845745 0.026245 0.845745 0.000000 0.000000
4706.32 0.832382 0.022302 0.832382 0.000000 0.000000
4711.32 0.848800 0.035369 0.848800 0.000000 0.000000
4716.32 0.878208 0.033134 0.878208 0.000000 0.000000
4721.32 0.904814 0.025323 0.904814 0.000000 0.000000
4726.32 0.902298 0.005554 0.902298 0.000000 0.000000
4731.32 0.884170 0.013116 0.884170 0.000000 0.000000
4736.32 0.874146 0.017601 0.874146 0.000000 0.000000
4741.33 0.881504 0.012146 0.881504 0.000000 0.000000
4746.33 0.899323 0.015737 0.899323 0.000000 0.000000
4751.33 0.900052 0.011406 0.900052 0.000000 0.000000
4756.33 0.878374 0.015310 0.878374 0.000000 0.000000
4761.33 0.852330 0.019946 0.852330 0.000000 0.000000
4766.33 0.817213 0.017061 0.817213 0.000000 0.000000
4771.33 0.792149 0.016457 0.792149 0.000000 0.000000
4776.34 0.769548 0.013675 0.769548 0.000000 0.000000
4781.34 0.758826 0.010195 0.758826 0.000000 0.000000
4786.34 0.771093 0.016941 0.771093 0.000000 0.000000
4791.34 0.807703 0.030850 0.807703 0.000000 0.000000
4796.34 0.843146 0.023717 0.843146 0.000000 0.000000
4801.34 0.874045 0.016206 0.874045 0.000000 0.000000
4806.34 0.889700 0.017669 0.889700 0.000000 0.000000
4811.34 0.901189 0.023052 0.901189 0.000000 0.000000
4816.35 0.906247 0.018054 0.906247 0.000000 0.000000
4821.35 0.886156 0.006708 0.886156 0.000000 0.000000
4826.35 0.860052 0.017055 0.860052 0.000000 0.000000
4831.35 0.846363 0.034692 0.846363 0.000000 0.000000
4836.35 0.848789 0.040995 0.848789 0.000000 0.000000
4841.35 0.869931 0.036269 0.869931 0.000000 0.000000
4846.35 0.898349 0.026467 0.898349 0.000000 0.000000
4851.36 0.903612 0.015141 0.903612 0.000000 0.000000
4856.36 0.875452 0.026153 0.875452 0.000000 0.000000
4861.36 0.841759 0.036918 0.841759 0.000000 0.000000
4866.36 0.830982 0.032384 0.830982 0.000000 0.000000
4871.36 0.820820 0.016853 0.820820 0.000000 0.000000
4876.36 0.842780 0.026354 0.842780 0.000000 0.000000
