# lk ukf_b8i uks_b8i fh fl fse
# iRMS=3.217178892e-05 0
# 
3561.02 1.910649 0.038629 1.910649 0.000000 0.000000
3566.02 1.897277 0.044417 1.897277 0.000000 0.000000
3571.02 1.887960 0.032619 1.887960 0.000000 0.000000
3576.02 1.861868 0.041490 1.861868 0.000000 0.000000
3581.02 1.833517 0.057360 1.833517 0.000000 0.000000
3586.02 1.848162 0.027448 1.848162 0.000000 0.000000
3591.02 1.865260 0.005378 1.865260 0.000000 0.000000
3596.03 1.869774 0.025422 1.869774 0.000000 0.000000
3601.03 1.874197 0.034916 1.874197 0.000000 0.000000
3606.03 1.887353 0.036150 1.887353 0.000000 0.000000
3611.03 1.878400 0.000000 1.878400 0.000000 0.000000
3616.03 1.893349 0.000000 1.893349 0.000000 0.000000
3621.03 1.930162 0.000000 1.930162 0.000000 0.000000
3626.03 1.900808 0.000000 1.900808 0.000000 0.000000
3631.03 1.913884 0.000000 1.913884 0.000000 0.000000
3636.04 1.896368 0.000000 1.896368 0.000000 0.000000
3641.04 1.922332 0.000000 1.922332 0.000000 0.000000
3646.04 1.916292 0.000000 1.916292 0.000000 0.000000
3651.04 1.839325 0.000000 1.839325 0.000000 0.000000
3656.04 1.837628 0.000000 1.837628 0.000000 0.000000
3661.04 1.875144 0.000000 1.875144 0.000000 0.000000
3666.04 1.852306 0.000000 1.852306 0.000000 0.000000
3671.05 1.859881 0.000000 1.859881 0.000000 0.000000
3676.05 1.924721 0.000000 1.924721 0.000000 0.000000
3681.05 1.954197 0.000000 1.954197 0.000000 0.000000
3686.05 1.960087 0.000000 1.960087 0.000000 0.000000
3691.05 1.947237 0.000000 1.947237 0.000000 0.000000
3696.05 1.952045 0.000000 1.952045 0.000000 0.000000
3701.05 2.031860 0.000000 2.031860 0.000000 0.000000
3706.05 2.016887 0.000000 2.016887 0.000000 0.000000
3711.06 2.110846 0.000000 2.110846 0.000000 0.000000
3716.06 2.218926 0.000000 2.218926 0.000000 0.000000
3721.06 2.189156 0.000000 2.189156 0.000000 0.000000
3726.06 2.287896 0.000000 2.287896 0.000000 0.000000
3731.06 2.292266 0.000000 2.292266 0.000000 0.000000
3736.06 2.108036 0.000000 2.108036 0.000000 0.000000
3741.06 2.436388 0.000000 2.436388 0.000000 0.000000
3746.06 2.382727 0.000000 2.382727 0.000000 0.000000
3751.07 2.142647 0.000000 2.142647 0.000000 0.000000
3756.07 2.430617 0.000000 2.430617 0.000000 0.000000
3761.07 2.578032 0.000000 2.578032 0.000000 0.000000
3766.07 2.412449 0.000000 2.412449 0.000000 0.000000
3771.07 2.150441 0.000000 2.150441 0.000000 0.000000
3776.07 2.389174 0.000000 2.389174 0.000000 0.000000
3781.07 2.647018 0.000000 2.647018 0.000000 0.000000
3786.08 2.666001 0.000000 2.666001 0.000000 0.000000
3791.08 2.577592 0.000000 2.577592 0.000000 0.000000
3796.08 2.210742 0.000000 2.210742 0.000000 0.000000
3801.08 2.237739 0.000000 2.237739 0.000000 0.000000
3806.08 2.551016 0.000000 2.551016 0.000000 0.000000
3811.08 2.647969 0.000000 2.647969 0.000000 0.000000
3816.08 2.698554 0.000000 2.698554 0.000000 0.000000
3821.08 2.666892 0.000000 2.666892 0.000000 0.000000
3826.09 2.652760 0.000000 2.652760 0.000000 0.000000
3831.09 2.431187 0.000000 2.431187 0.000000 0.000000
3836.09 2.105276 0.000000 2.105276 0.000000 0.000000
3841.09 2.404933 0.000000 2.404933 0.000000 0.000000
3846.09 2.633819 0.000000 2.633819 0.000000 0.000000
3851.09 2.628039 0.000000 2.628039 0.000000 0.000000
3856.09 2.593071 0.000000 2.593071 0.000000 0.000000
3861.09 2.542095 0.000000 2.542095 0.000000 0.000000
3866.10 2.527002 0.000000 2.527002 0.000000 0.000000
3871.10 2.546850 0.000000 2.546850 0.000000 0.000000
3876.10 2.503300 0.000000 2.503300 0.000000 0.000000
3881.10 2.466129 0.000000 2.466129 0.000000 0.000000
3886.10 2.216920 0.000000 2.216920 0.000000 0.000000
3891.10 2.040607 0.000000 2.040607 0.000000 0.000000
3896.10 2.355099 0.000000 2.355099 0.000000 0.000000
3901.10 2.558914 0.000000 2.558914 0.000000 0.000000
3906.11 2.560631 0.000000 2.560631 0.000000 0.000000
3911.11 2.534166 0.000000 2.534166 0.000000 0.000000
3916.11 2.494763 0.000000 2.494763 0.000000 0.000000
3921.11 2.441482 0.000000 2.441482 0.000000 0.000000
3926.11 2.429314 0.000000 2.429314 0.000000 0.000000
3931.11 2.305268 0.000000 2.305268 0.000000 0.000000
3936.11 2.280266 0.000000 2.280266 0.000000 0.000000
3941.12 2.445332 0.000000 2.445332 0.000000 0.000000
3946.12 2.463647 0.000000 2.463647 0.000000 0.000000
3951.12 2.459002 0.000000 2.459002 0.000000 0.000000
3956.12 2.455952 0.000000 2.455952 0.000000 0.000000
3961.12 2.398192 0.000000 2.398192 0.000000 0.000000
3966.12 2.036598 0.000000 2.036598 0.000000 0.000000
3971.12 1.789385 0.000000 1.789385 0.000000 0.000000
3976.12 2.192722 0.000000 2.192722 0.000000 0.000000
3981.13 2.363902 0.000000 2.363902 0.000000 0.000000
3986.13 2.370164 0.000000 2.370164 0.000000 0.000000
3991.13 2.373161 0.000000 2.373161 0.000000 0.000000
3996.13 2.339714 0.000000 2.339714 0.000000 0.000000
4001.13 2.334845 0.000000 2.334845 0.000000 0.000000
4006.13 2.292695 0.000000 2.292695 0.000000 0.000000
4011.13 2.285199 0.000000 2.285199 0.000000 0.000000
4016.13 2.288529 0.000000 2.288529 0.000000 0.000000
4021.14 2.260281 0.000000 2.260281 0.000000 0.000000
4026.14 2.187479 0.000000 2.187479 0.000000 0.000000
4031.14 2.230258 0.000000 2.230258 0.000000 0.000000
4036.14 2.263646 0.000000 2.263646 0.000000 0.000000
4041.14 2.277485 0.000000 2.277485 0.000000 0.000000
4046.14 2.288874 0.000000 2.288874 0.000000 0.000000
4051.14 2.282599 0.000000 2.282599 0.000000 0.000000
4056.15 2.267395 0.000000 2.267395 0.000000 0.000000
4061.15 2.243620 0.000000 2.243620 0.000000 0.000000
4066.15 2.211392 0.000000 2.211392 0.000000 0.000000
4071.15 2.195383 0.000000 2.195383 0.000000 0.000000
4076.15 2.158551 0.000000 2.158551 0.000000 0.000000
4081.15 2.165171 0.000000 2.165171 0.000000 0.000000
4086.15 2.155553 0.000000 2.155553 0.000000 0.000000
